id,area_sqft,bedrooms,bathrooms,parking,floor,property_type,location,city_tier,age_years,price_inr
953,1347,2,2,0,8,Villa,Warangal,tier3,6,4657000
954,473,2,2,1,13,Independent House,Thiruvananthapuram,tier3,17,1822000
955,1417,4,1,0,11,Studio,Thane,tier2,11,7519000
956,812,2,2,2,0,Independent House,Ludhiana,tier3,8,2959000
957,771,4,1,1,7,Studio,Patna,tier2,24,3221000
958,200,2,1,2,30,Villa,Hyderabad,tier1,19,1892000
959,1506,2,1,1,0,Penthouse,Kalyan-Dombivli,tier3,8,4121000
960,392,3,2,1,2,Penthouse,Kanpur,tier2,4,2539000
961,767,4,3,2,24,Apartment,Kolkata,tier1,13,5718000
962,1451,3,2,1,0,Apartment,Vadodara,tier2,15,5614000
963,1222,1,1,1,1,Studio,Vasai-Virar,tier3,12,2932000
964,1501,3,2,2,29,Villa,Mysore,tier3,28,2755000
965,1494,2,1,0,23,Villa,Rajkot,tier3,9,4109000
966,696,3,1,1,22,Penthouse,Hubli-Dharwad,tier3,17,2407000
967,1637,1,1,0,29,Studio,Thiruvananthapuram,tier3,17,3885000
968,307,1,1,1,28,Villa,Raipur,tier3,1,1458000
969,1020,2,2,0,15,Apartment,Vadodara,tier2,2,5043000
970,1051,2,2,0,12,Penthouse,Surat,tier2,27,2904000
971,1512,2,1,1,14,Independent House,Hubli-Dharwad,tier3,7,4576000
972,269,2,2,0,27,Independent House,Moradabad,tier3,27,991000
973,933,2,2,0,0,Studio,Nagpur,tier2,2,3942000
974,1570,2,1,1,27,Apartment,Tiruchirappalli,tier3,8,4539000
975,2032,2,2,1,9,Villa,Ludhiana,tier3,12,4501000
976,1911,2,2,2,10,Penthouse,Patna,tier2,8,8631000
977,200,4,3,0,11,Apartment,Nagpur,tier2,9,2197000
978,425,2,2,1,0,Studio,Delhi,tier1,8,4650000
979,200,4,2,1,11,Studio,Chennai,tier1,18,2120000
980,1580,1,1,2,0,Independent House,Lucknow,tier2,12,6848000
981,1079,2,2,1,0,Villa,Indore,tier2,1,6408000
982,665,2,2,1,0,Apartment,Lucknow,tier2,1,3875000
983,691,2,1,1,19,Independent House,Pune,tier1,3,4930000
984,805,2,2,2,18,Apartment,Raipur,tier3,42,1090000
985,2481,2,1,1,17,Apartment,Visakhapatnam,tier2,11,9617000
986,1689,3,1,0,17,Apartment,Ghaziabad,tier3,5,4875000
987,2255,2,1,2,19,Penthouse,Lucknow,tier2,0,11567000
988,1267,2,1,1,24,Independent House,Kanpur,tier2,14,4980000
989,1176,1,1,1,14,Apartment,Pune,tier1,36,3946000
990,1710,4,2,1,1,Penthouse,Dhanbad,tier3,13,4547000
991,970,2,1,1,19,Studio,Madurai,tier3,19,1980000
992,1417,2,2,1,23,Penthouse,Solapur,tier3,14,3413000
993,703,2,2,1,2,Studio,Bareilly,tier3,9,2395000
994,826,3,3,0,0,Studio,Jaipur,tier2,4,4457000
995,1568,4,2,1,0,Studio,Mysore,tier3,14,4202000
996,1977,3,2,0,3,Penthouse,Lucknow,tier2,21,6752000
997,393,3,2,1,3,Studio,Meerut,tier3,7,1824000
998,1891,2,2,1,10,Villa,Mysore,tier3,9,4773000
999,662,4,2,2,4,Apartment,Patna,tier2,3,4288000
1000,737,2,1,1,14,Villa,Guwahati,tier3,15,2516000
1001,800,3,1,2,4,Penthouse,Jaipur,tier2,13,4856000
1002,348,3,2,1,10,Independent House,Solapur,tier3,12,2005000
1003,916,2,2,1,0,Villa,Warangal,tier3,0,3011000
1004,880,2,1,1,25,Studio,Hyderabad,tier1,14,6691000
1005,838,2,1,1,28,Independent House,Meerut,tier3,6,3146000
1006,200,3,2,1,1,Studio,Visakhapatnam,tier2,30,1347000
1007,2056,4,3,1,14,Studio,Bhubaneswar,tier3,5,6506000
1008,1171,2,2,1,23,Studio,Hyderabad,tier1,0,8773000
1009,1640,5,2,1,1,Penthouse,Thiruvananthapuram,tier3,17,4144000
1010,1453,3,2,1,15,Apartment,Hyderabad,tier1,4,12761000
1011,2082,4,1,1,26,Independent House,Patna,tier2,19,5968000
1012,200,3,2,1,29,Independent House,Mysore,tier3,14,1836000
1013,1536,3,2,1,16,Apartment,Guwahati,tier3,7,5037000
1014,547,3,1,2,4,Apartment,Chandigarh,tier3,10,2273000
1015,1280,4,1,1,27,Penthouse,Moradabad,tier3,24,2656000
1016,1027,2,1,1,23,Independent House,Bhopal,tier2,8,5041000
1017,507,3,1,0,6,Independent House,Ludhiana,tier3,3,2695000
1018,1034,3,2,1,0,Penthouse,Hyderabad,tier1,19,6667000
1019,822,4,2,1,24,Penthouse,Salem,tier3,13,3499000
1020,399,2,1,1,19,Penthouse,Mumbai,tier1,0,4017000
1021,612,2,2,1,16,Apartment,Vasai-Virar,tier3,18,1853000
1022,1571,2,2,1,0,Independent House,Bhubaneswar,tier3,15,3298000
1023,1232,4,1,1,30,Villa,Thane,tier2,9,5380000
1024,1108,4,2,2,14,Penthouse,Lucknow,tier2,7,5386000
1025,1814,1,1,1,1,Apartment,Agra,tier3,9,4576000
1026,1593,2,1,1,27,Studio,Madurai,tier3,5,3812000
1027,300,2,2,1,0,Independent House,Vadodara,tier2,23,1810000
1028,1202,2,1,1,27,Penthouse,Thiruvananthapuram,tier3,3,3100000
1029,974,2,2,1,8,Apartment,Jodhpur,tier3,5,3752000
1030,581,3,2,1,19,Apartment,Ludhiana,tier3,0,3014000
1031,785,3,1,2,1,Studio,Guwahati,tier3,16,2650000
1032,1270,2,1,1,17,Penthouse,Kanpur,tier2,4,6717000
1033,2170,3,1,2,1,Villa,Madurai,tier3,6,6038000
1034,200,5,1,1,0,Independent House,Tiruchirappalli,tier3,12,2667000
1035,1770,2,2,1,24,Villa,Mumbai,tier1,6,13757000
1036,1212,2,2,2,5,Independent House,Varanasi,tier3,26,2830000
1037,1385,3,2,1,16,Penthouse,Vadodara,tier2,19,4551000
1038,2054,5,2,2,3,Studio,Solapur,tier3,6,6950000
1039,900,2,2,2,0,Penthouse,Kota,tier3,17,2232000
1040,1675,1,1,2,23,Apartment,Guwahati,tier3,14,3284000
1041,200,4,1,1,21,Penthouse,Mysore,tier3,1,2016000
1042,1279,3,1,1,0,Studio,Dhanbad,tier3,15,4029000
1043,314,3,1,2,7,Penthouse,Kota,tier3,9,2316000
1044,1815,2,2,1,7,Villa,Thane,tier2,16,7087000
1045,408,5,2,1,12,Villa,Delhi,tier1,11,4855000
1046,1257,2,2,2,5,Villa,Kanpur,tier2,5,5895000
1047,1139,2,1,1,0,Studio,Chandigarh,tier3,1,3014000
1048,1000,5,2,1,19,Penthouse,Agra,tier3,16,2897000
1049,908,3,2,1,26,Apartment,Dhanbad,tier3,11,2628000
1050,1790,4,2,1,0,Villa,Rajkot,tier3,14,5040000
1051,1301,4,1,2,0,Apartment,Kota,tier3,17,3807000
1052,200,2,2,1,26,Apartment,Jalandhar,tier3,0,2020000
1053,1551,3,1,1,14,Studio,Kolkata,tier1,8,11722000
1054,1784,2,1,1,26,Villa,Ahmedabad,tier1,25,8103000
1055,1857,2,2,1,30,Apartment,Lucknow,tier2,2,8448000
1056,1838,3,2,1,6,Independent House,Nashik,tier3,0,7130000
1057,420,2,2,0,27,Independent House,Pune,tier1,7,3534000
1058,792,5,2,1,16,Apartment,Salem,tier3,28,2148000
1059,342,3,2,1,6,Villa,Ahmedabad,tier1,19,3052000
1060,1879,3,1,0,0,Villa,Srinagar,tier3,4,4990000
1061,618,5,3,1,30,Penthouse,Indore,tier2,8,5224000
1062,459,2,1,1,27,Independent House,Moradabad,tier3,14,1812000
1063,387,4,2,1,0,Villa,Agra,tier3,6,2783000
1064,955,2,1,0,8,Apartment,Rajkot,tier3,6,2925000
1065,1003,2,1,1,21,Villa,Warangal,tier3,5,2974000
1066,1737,4,1,1,0,Independent House,Bhopal,tier2,0,9441000
1067,1436,3,1,1,22,Villa,Mumbai,tier1,11,11206000
1068,1507,3,2,0,24,Studio,Nagpur,tier2,8,6435000
1069,1335,1,1,1,15,Independent House,Bhopal,tier2,8,6512000
1070,897,4,2,1,28,Villa,Surat,tier2,2,6575000
1071,1534,2,2,1,18,Studio,Varanasi,tier3,1,4740000
1072,2753,2,2,1,12,Apartment,Thiruvananthapuram,tier3,3,6943000
1073,1922,4,1,1,15,Independent House,Warangal,tier3,6,5837000
1074,1937,3,1,1,30,Penthouse,Tiruchirappalli,tier3,5,5566000
1075,1285,2,1,1,0,Penthouse,Tiruchirappalli,tier3,6,3494000
1076,1219,3,1,1,4,Villa,Guwahati,tier3,4,4214000
1077,1568,3,3,2,13,Penthouse,Solapur,tier3,11,4706000
1078,511,2,1,1,3,Penthouse,Madurai,tier3,17,1608000
1079,1837,3,2,2,1,Apartment,Delhi,tier1,5,13612000
1080,491,2,1,1,8,Penthouse,Bangalore,tier1,24,2835000
1081,1827,2,1,1,25,Apartment,Moradabad,tier3,13,4288000
1082,1725,3,2,1,1,Villa,Solapur,tier3,6,4427000
1083,1573,3,2,1,9,Studio,Indore,tier2,19,5332000
1084,1318,2,1,1,0,Apartment,Kolkata,tier1,6,9741000
1085,1187,3,1,1,15,Studio,Jaipur,tier2,28,2794000
1086,200,3,3,1,0,Apartment,Ludhiana,tier3,8,1717000
1087,1149,3,3,1,10,Penthouse,Nashik,tier3,6,3971000
1088,1719,5,1,1,23,Independent House,Ludhiana,tier3,13,4466000
1089,1207,3,1,0,9,Independent House,Thiruvananthapuram,tier3,13,2638000
1090,1238,3,1,1,4,Independent House,Delhi,tier1,1,10686000
1091,514,3,2,2,7,Apartment,Ghaziabad,tier3,8,2882000
1092,1573,4,1,1,12,Apartment,Kanpur,tier2,5,7513000
1093,1811,2,2,1,0,Independent House,Surat,tier2,10,7837000
1094,1204,2,2,1,5,Apartment,Chandigarh,tier3,7,3828000
1095,1133,2,2,1,12,Independent House,Nashik,tier3,16,2730000
1096,1141,1,1,2,29,Studio,Nagpur,tier2,18,4790000
1097,1283,5,1,1,5,Villa,Vasai-Virar,tier3,0,5677000
1098,552,3,1,1,8,Penthouse,Bhopal,tier2,7,3112000
1099,1888,2,1,1,25,Studio,Tiruchirappalli,tier3,34,2392000
1100,1279,2,1,0,18,Apartment,Nashik,tier3,5,3571000
1101,1098,3,2,1,30,Villa,Dhanbad,tier3,9,4213000
1102,1859,3,1,1,0,Independent House,Nashik,tier3,19,3632000
1103,200,1,1,0,16,Villa,Agra,tier3,14,724000
1104,1437,3,1,1,14,Studio,Ahmedabad,tier1,27,7308000
1105,1643,3,1,1,23,Villa,Kota,tier3,9,4585000
1106,1069,1,1,1,0,Studio,Mysore,tier3,11,2272000
1107,1305,2,2,1,23,Independent House,Pimpri-Chinchwad,tier2,6,6308000
1108,2117,2,2,1,0,Studio,Bangalore,tier1,0,16786000
1109,1599,4,2,1,23,Studio,Pune,tier1,12,10381000
1110,482,5,2,2,18,Penthouse,Surat,tier2,11,4018000
1111,1329,1,1,1,3,Villa,Moradabad,tier3,12,3143000
1112,927,1,1,1,23,Penthouse,Jaipur,tier2,4,4774000
1113,200,2,2,1,6,Penthouse,Chandigarh,tier3,8,1586000
1114,1550,3,1,1,27,Villa,Kolkata,tier1,12,12591000
1115,1525,2,1,0,18,Independent House,Meerut,tier3,8,3930000
1116,1215,2,2,1,20,Studio,Vadodara,tier2,19,3943000
1117,1068,2,2,1,30,Apartment,Hubli-Dharwad,tier3,5,3053000
1118,651,3,2,1,29,Studio,Thiruvananthapuram,tier3,10,2806000
1119,502,2,2,1,21,Villa,Surat,tier2,22,1970000
1120,590,3,3,2,0,Independent House,Lucknow,tier2,16,3712000
1121,803,1,1,1,1,Studio,Dhanbad,tier3,0,2772000
1122,1574,3,1,1,6,Apartment,Agra,tier3,26,3184000
1123,1204,2,1,2,7,Independent House,Kolkata,tier1,25,5379000
1124,1372,4,2,1,0,Villa,Bareilly,tier3,20,3880000
1125,2183,3,2,1,6,Studio,Surat,tier2,27,6751000
1126,614,2,2,1,13,Apartment,Ahmedabad,tier1,14,5259000
1127,1709,3,1,1,28,Independent House,Bhopal,tier2,17,6064000
1128,2557,2,2,2,23,Villa,Patna,tier2,16,8733000
1129,1857,2,2,1,29,Independent House,Patna,tier2,31,3985000
1130,1465,2,1,1,26,Villa,Hubli-Dharwad,tier3,26,2316000
1131,1192,4,2,1,15,Independent House,Madurai,tier3,6,3543000
1132,788,3,1,1,0,Penthouse,Rajkot,tier3,1,3013000
1133,921,3,2,0,22,Studio,Kalyan-Dombivli,tier3,20,2319000
1134,879,2,2,0,15,Villa,Pune,tier1,11,6042000
1135,1357,4,3,1,16,Independent House,Srinagar,tier3,5,5132000
1136,1813,1,1,2,0,Villa,Varanasi,tier3,4,4574000
1137,1635,2,2,1,24,Penthouse,Jodhpur,tier3,17,3527000
1138,1281,4,2,1,8,Studio,Bhubaneswar,tier3,20,3593000
1139,1803,1,1,2,28,Penthouse,Guwahati,tier3,14,4026000
1140,1381,5,2,2,26,Independent House,Bhopal,tier2,11,7312000
1141,558,4,1,1,25,Studio,Solapur,tier3,13,2435000
1142,1056,3,3,1,0,Villa,Bhubaneswar,tier3,12,3235000
1143,1143,2,1,0,24,Apartment,Moradabad,tier3,16,3133000
1144,308,2,2,1,8,Apartment,Srinagar,tier3,16,1421000
1145,825,2,2,1,5,Penthouse,Meerut,tier3,17,2609000
1146,1465,2,2,1,23,Studio,Thiruvananthapuram,tier3,7,4623000
1147,1667,2,1,1,0,Independent House,Meerut,tier3,28,2435000
1148,520,2,1,2,28,Penthouse,Jodhpur,tier3,20,1829000
1149,1487,2,1,2,12,Penthouse,Salem,tier3,29,2639000
1150,734,2,2,1,15,Studio,Agra,tier3,3,3162000
1151,829,2,2,2,24,Studio,Faridabad,tier3,16,2658000
1152,1150,2,1,2,2,Penthouse,Chennai,tier1,7,9859000
1153,1883,3,1,2,27,Villa,Nashik,tier3,25,3465000
1154,800,2,2,1,21,Penthouse,Bhopal,tier2,9,3718000
1155,637,2,2,1,14,Villa,Vasai-Virar,tier3,6,2665000
1156,1878,3,3,1,30,Studio,Ludhiana,tier3,12,5165000
1157,959,3,1,1,22,Independent House,Rajkot,tier3,5,3936000
1158,346,2,1,1,26,Independent House,Thane,tier2,16,1874000
1159,1792,2,2,1,0,Villa,Visakhapatnam,tier2,15,5800000
1160,1562,2,1,1,30,Villa,Solapur,tier3,4,4501000
1161,446,3,1,1,0,Villa,Madurai,tier3,1,2404000
1162,1018,2,2,1,11,Studio,Guwahati,tier3,4,3578000
1163,1351,2,2,2,2,Apartment,Vadodara,tier2,6,5753000
1164,1263,5,2,1,18,Penthouse,Kanpur,tier2,5,6533000
1165,922,2,1,1,14,Villa,Ghaziabad,tier3,23,1707000
1166,891,2,2,1,0,Independent House,Pimpri-Chinchwad,tier2,21,3067000
1167,2267,2,2,1,23,Independent House,Ludhiana,tier3,14,5318000
1168,1053,3,2,1,15,Apartment,Raipur,tier3,15,2779000
1169,2212,2,2,1,0,Villa,Vasai-Virar,tier3,9,4843000
1170,839,2,2,2,11,Villa,Jalandhar,tier3,1,3787000
1171,563,2,2,2,1,Apartment,Nashik,tier3,15,1974000
1172,1205,2,2,1,23,Independent House,Aligarh,tier3,25,2003000
1173,1834,3,2,1,6,Independent House,Thane,tier2,8,7568000
1174,2348,3,2,1,22,Penthouse,Ludhiana,tier3,5,7545000
1175,1196,2,1,2,0,Independent House,Ludhiana,tier3,4,4287000
1176,1660,3,1,1,8,Villa,Moradabad,tier3,11,5016000
1177,1349,2,2,1,4,Apartment,Solapur,tier3,9,3253000
1178,1636,1,1,0,1,Apartment,Varanasi,tier3,6,3913000
1179,204,2,2,1,1,Penthouse,Bhubaneswar,tier3,5,1716000
1180,1213,2,2,1,29,Villa,Patna,tier2,25,3335000
1181,1362,2,2,2,7,Studio,Ghaziabad,tier3,15,3281000
1182,1627,2,2,1,4,Studio,Agra,tier3,18,3586000
1183,851,4,1,2,20,Apartment,Guwahati,tier3,5,3283000
1184,1653,4,1,2,0,Villa,Vadodara,tier2,21,4896000
1185,1123,4,2,0,27,Independent House,Kota,tier3,14,3008000
1186,1751,1,1,1,6,Studio,Meerut,tier3,12,3585000
1187,1062,4,2,1,4,Apartment,Indore,tier2,6,5376000
1188,1851,2,1,1,20,Apartment,Nashik,tier3,18,3230000
1189,530,3,1,1,11,Studio,Thane,tier2,3,3355000
1190,1244,5,2,1,24,Penthouse,Srinagar,tier3,2,4827000
1191,1369,5,3,2,10,Studio,Moradabad,tier3,18,4905000
1192,1015,1,1,1,20,Independent House,Madurai,tier3,18,1803000
1193,938,2,2,2,27,Independent House,Warangal,tier3,12,3716000
1194,1052,4,2,2,26,Apartment,Thiruvananthapuram,tier3,4,5221000
1195,475,4,2,1,11,Penthouse,Delhi,tier1,5,4765000
1196,1208,3,2,1,30,Penthouse,Warangal,tier3,13,3320000
1197,741,4,1,1,12,Villa,Agra,tier3,2,3898000
1198,734,2,1,1,0,Independent House,Bhopal,tier2,14,3749000
1199,1385,5,1,1,0,Independent House,Raipur,tier3,15,4906000
1200,1909,4,1,2,11,Penthouse,Salem,tier3,18,4920000
1201,2470,3,2,1,23,Independent House,Ludhiana,tier3,14,6458000
1202,1308,2,2,1,3,Villa,Madurai,tier3,0,4384000
1203,410,3,2,1,20,Penthouse,Pimpri-Chinchwad,tier2,19,2247000
1204,1006,3,2,2,7,Independent House,Pimpri-Chinchwad,tier2,18,4390000
1205,578,2,2,1,10,Independent House,Solapur,tier3,1,2370000
1206,1334,4,1,1,30,Apartment,Visakhapatnam,tier2,23,4273000
1207,718,2,1,1,4,Independent House,Thane,tier2,10,2942000
1208,1032,3,3,0,0,Studio,Ludhiana,tier3,8,3289000
1209,700,5,1,1,0,Penthouse,Varanasi,tier3,11,3383000
1210,1674,5,1,0,0,Penthouse,Moradabad,tier3,16,4484000
1211,702,4,2,1,24,Villa,Nagpur,tier2,21,3334000
1212,240,4,2,1,12,Penthouse,Vadodara,tier2,9,2257000
1213,2517,3,1,2,25,Apartment,Vadodara,tier2,14,9412000
1214,838,4,1,1,12,Penthouse,Meerut,tier3,13,3027000
1215,1239,2,1,2,13,Villa,Jodhpur,tier3,11,4245000
1216,906,2,2,1,9,Penthouse,Kanpur,tier2,34,2317000
1217,1607,3,1,1,22,Villa,Bangalore,tier1,13,11874000
1218,2227,2,2,1,0,Apartment,Raipur,tier3,10,5664000
1219,1100,1,1,1,0,Independent House,Kalyan-Dombivli,tier3,10,2870000
1220,769,3,1,1,26,Independent House,Jaipur,tier2,6,4331000
1221,1052,2,1,0,7,Penthouse,Chennai,tier1,0,8245000
1222,1443,4,3,2,15,Apartment,Thiruvananthapuram,tier3,9,4318000
1223,1660,2,2,2,22,Studio,Varanasi,tier3,10,5574000
1224,483,2,2,1,0,Apartment,Bareilly,tier3,32,1064000
1225,1124,3,1,1,17,Villa,Hyderabad,tier1,8,8217000
1226,1796,2,1,2,25,Apartment,Rajkot,tier3,13,4692000
1227,218,1,1,2,24,Studio,Rajkot,tier3,0,1746000
1228,717,2,1,2,11,Studio,Ghaziabad,tier3,3,2975000
1229,1650,3,1,1,18,Studio,Nashik,tier3,12,4568000
1230,2301,5,1,1,18,Independent House,Jalandhar,tier3,15,6062000
1231,1617,2,2,1,0,Villa,Tiruchirappalli,tier3,13,3923000
1232,1161,2,1,2,6,Independent House,Hyderabad,tier1,5,9107000
1233,340,4,2,2,30,Villa,Warangal,tier3,5,3143000
1234,1451,5,3,1,12,Independent House,Surat,tier2,26,5469000
1235,828,3,1,1,22,Villa,Kota,tier3,32,1293000
1236,2333,4,2,1,1,Villa,Lucknow,tier2,22,6676000
1237,894,2,2,1,5,Apartment,Patna,tier2,12,3757000
1238,671,2,2,2,8,Independent House,Mysore,tier3,6,2529000
1239,1664,3,1,1,10,Studio,Kolkata,tier1,10,11506000
1240,731,2,2,1,1,Apartment,Pimpri-Chinchwad,tier2,21,2929000
1241,2014,4,1,1,6,Penthouse,Pimpri-Chinchwad,tier2,14,6824000
1242,1831,3,1,1,13,Apartment,Madurai,tier3,10,4306000
1243,1159,4,1,1,0,Villa,Thane,tier2,18,4459000
1244,1183,4,2,0,22,Independent House,Thane,tier2,16,5508000
1245,1536,2,2,1,2,Independent House,Dhanbad,tier3,16,3783000
1246,1362,2,1,1,16,Penthouse,Madurai,tier3,16,3704000
1247,1420,3,1,1,18,Penthouse,Bhubaneswar,tier3,14,4421000
1248,1116,2,2,2,13,Villa,Jalandhar,tier3,1,4396000
1249,1998,2,2,1,7,Apartment,Mumbai,tier1,3,16894000
1250,1237,2,1,1,14,Penthouse,Madurai,tier3,15,3522000
1251,1534,2,2,1,21,Villa,Bangalore,tier1,18,10203000
1252,2318,2,1,1,11,Penthouse,Pimpri-Chinchwad,tier2,24,6925000
1253,2123,2,2,1,18,Studio,Vadodara,tier2,13,7206000
1254,1715,4,2,1,0,Villa,Thiruvananthapuram,tier3,2,5710000
1255,1060,4,2,1,6,Apartment,Pune,tier1,7,8368000
1256,333,2,2,1,7,Penthouse,Salem,tier3,5,1779000
1257,1807,2,2,1,8,Independent House,Chennai,tier1,13,10209000
1258,861,4,2,1,23,Villa,Thiruvananthapuram,tier3,2,3761000
1259,1127,4,2,2,2,Villa,Bhopal,tier2,10,5519000
1260,1093,3,3,0,8,Apartment,Surat,tier2,11,5306000
1261,1789,2,2,2,8,Independent House,Bhopal,tier2,22,5361000
1262,2130,2,2,2,26,Independent House,Hubli-Dharwad,tier3,3,6755000
1263,1736,2,2,1,5,Penthouse,Moradabad,tier3,28,2534000
1264,625,1,1,1,14,Studio,Moradabad,tier3,34,1078000
1265,2523,4,1,1,0,Apartment,Delhi,tier1,2,17024000
1266,716,4,2,1,10,Villa,Hubli-Dharwad,tier3,0,4206000
1267,1147,5,3,1,23,Studio,Mumbai,tier1,10,8658000
1268,905,1,1,2,24,Apartment,Jodhpur,tier3,14,2456000
1269,660,2,1,2,25,Penthouse,Patna,tier2,22,2362000
1270,1280,4,1,2,28,Penthouse,Indore,tier2,10,6852000
1271,1591,1,1,1,24,Studio,Nagpur,tier2,4,7039000
1272,225,4,1,2,4,Apartment,Moradabad,tier3,9,2485000
1273,1533,3,3,0,24,Studio,Hyderabad,tier1,19,9322000
1274,1372,3,2,1,2,Independent House,Ludhiana,tier3,22,3538000
1275,1429,2,1,1,1,Studio,Bareilly,tier3,14,3121000
1276,1305,2,1,0,3,Villa,Aligarh,tier3,11,3337000
1277,1325,2,2,0,21,Penthouse,Visakhapatnam,tier2,8,6031000
1278,1533,3,2,1,4,Apartment,Ludhiana,tier3,1,6259000
1279,942,3,2,0,16,Villa,Varanasi,tier3,22,2012000
1280,1342,2,1,1,6,Penthouse,Madurai,tier3,11,2956000
1281,1223,2,2,2,16,Penthouse,Tiruchirappalli,tier3,1,4621000
1282,764,1,1,1,25,Studio,Thiruvananthapuram,tier3,16,1847000
1283,710,4,2,1,14,Apartment,Tiruchirappalli,tier3,2,3768000
1284,587,2,2,0,22,Studio,Bhubaneswar,tier3,17,1718000
1285,1333,2,2,2,2,Penthouse,Vadodara,tier2,8,7126000
1286,985,2,1,1,22,Apartment,Varanasi,tier3,9,3214000
1287,844,2,1,1,5,Independent House,Pimpri-Chinchwad,tier2,1,4670000
1288,1359,3,1,1,29,Penthouse,Visakhapatnam,tier2,18,5292000
1289,327,2,2,2,26,Independent House,Srinagar,tier3,2,2171000
1290,540,2,1,2,8,Apartment,Nashik,tier3,10,1963000
1291,1464,2,2,1,30,Penthouse,Meerut,tier3,7,4230000
1292,804,2,1,2,11,Studio,Kalyan-Dombivli,tier3,24,2276000
1293,2186,2,2,2,28,Villa,Jaipur,tier2,17,7577000
1294,904,1,1,1,22,Independent House,Madurai,tier3,18,2223000
1295,381,2,1,1,30,Penthouse,Solapur,tier3,4,1978000
1296,1147,5,3,1,15,Apartment,Salem,tier3,2,5081000
1297,1214,1,1,1,3,Penthouse,Salem,tier3,12,3198000
1298,1834,3,2,2,24,Apartment,Hyderabad,tier1,4,14711000
1299,1535,3,2,1,18,Penthouse,Kota,tier3,25,2642000
1300,2045,4,2,1,5,Studio,Kanpur,tier2,11,8019000
1301,687,5,1,1,17,Penthouse,Kanpur,tier2,12,4712000
1302,829,4,3,1,20,Independent House,Jodhpur,tier3,16,2727000
1303,965,3,3,1,2,Studio,Kolkata,tier1,1,9422000
1304,1344,2,2,1,4,Penthouse,Varanasi,tier3,6,4212000
1305,1690,2,2,1,11,Studio,Nagpur,tier2,14,6814000
1306,1723,2,2,1,9,Independent House,Agra,tier3,30,2566000
1307,1674,3,1,0,23,Penthouse,Agra,tier3,13,3485000
1308,1892,3,1,1,24,Independent House,Jalandhar,tier3,17,4338000
1309,1989,2,2,0,29,Studio,Solapur,tier3,2,5141000
1310,1366,2,2,2,18,Penthouse,Thiruvananthapuram,tier3,7,5013000
1311,1791,5,1,1,5,Independent House,Indore,tier2,4,10953000
1312,2105,3,2,0,14,Studio,Madurai,tier3,24,4386000
1313,1727,3,2,1,26,Apartment,Bangalore,tier1,7,15443000
1314,724,2,2,1,1,Penthouse,Varanasi,tier3,14,2199000
1315,200,3,1,2,14,Independent House,Madurai,tier3,3,1828000
1316,1273,3,2,1,0,Apartment,Madurai,tier3,2,4378000
1317,989,1,1,0,13,Villa,Solapur,tier3,4,2492000
1318,1702,1,1,1,4,Villa,Meerut,tier3,5,4414000
1319,439,2,2,1,6,Villa,Meerut,tier3,7,2249000
1320,1118,1,1,1,11,Penthouse,Patna,tier2,5,5458000
1321,2330,3,2,1,9,Villa,Ludhiana,tier3,29,4097000
1322,1253,2,1,1,0,Studio,Patna,tier2,4,6516000
1323,693,3,1,1,1,Villa,Visakhapatnam,tier2,12,4114000
1324,200,2,1,1,29,Studio,Bhopal,tier2,14,1663000
1325,584,3,2,1,0,Apartment,Aligarh,tier3,1,3038000
1326,906,4,2,1,11,Studio,Nashik,tier3,18,2862000
1327,1980,2,2,0,11,Independent House,Tiruchirappalli,tier3,9,5256000
1328,216,2,2,2,0,Penthouse,Ahmedabad,tier1,35,1370000
1329,1324,1,1,1,0,Penthouse,Rajkot,tier3,7,2840000
1330,1414,3,2,0,14,Penthouse,Dhanbad,tier3,12,3107000
1331,1624,2,1,1,6,Penthouse,Rajkot,tier3,8,4573000
1332,1866,4,1,1,12,Studio,Madurai,tier3,18,4180000
1333,200,4,1,1,2,Penthouse,Chennai,tier1,32,1572000
1334,1029,3,3,1,10,Villa,Aligarh,tier3,14,2911000
1335,1287,1,1,1,17,Independent House,Nashik,tier3,11,2985000
1336,1393,3,3,1,13,Apartment,Hubli-Dharwad,tier3,10,4977000
1337,1507,1,1,1,0,Apartment,Delhi,tier1,13,8994000
1338,218,3,1,0,0,Villa,Bangalore,tier1,2,2841000
1339,1784,2,2,1,25,Independent House,Surat,tier2,3,7983000
1340,1229,4,3,1,25,Villa,Raipur,tier3,14,4138000
1341,1550,4,2,1,0,Studio,Kalyan-Dombivli,tier3,19,3462000
1342,200,4,3,1,0,Penthouse,Nashik,tier3,11,1972000
1343,777,2,2,0,2,Independent House,Rajkot,tier3,11,2194000
1344,870,2,1,1,0,Independent House,Ahmedabad,tier1,2,8048000
1345,1223,2,2,1,0,Penthouse,Kalyan-Dombivli,tier3,3,4058000
1346,1522,3,2,2,0,Apartment,Rajkot,tier3,13,3912000
1347,1103,3,3,1,15,Apartment,Raipur,tier3,3,4605000
1348,953,1,1,2,20,Studio,Kolkata,tier1,3,7991000
1349,1029,3,2,1,12,Independent House,Meerut,tier3,4,3208000
1350,200,2,1,1,0,Studio,Raipur,tier3,5,1165000
1351,583,4,2,2,6,Studio,Surat,tier2,3,3922000
1352,1601,4,1,1,12,Apartment,Thane,tier2,16,5497000
1353,1676,2,2,1,10,Villa,Vadodara,tier2,32,4376000
1354,1195,3,1,1,28,Independent House,Dhanbad,tier3,4,4369000
